id;timestamp_utc;name;description;address;register_type;raw_value;value;unit;source
7764;2026-08-04T08:15:04.734543+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7765;2026-08-04T08:15:04.734567+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7766;2026-08-04T08:15:04.734591+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7767;2026-08-04T08:15:04.734615+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7768;2026-08-04T08:15:04.734638+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7769;2026-08-04T08:15:10.116620+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7770;2026-08-04T08:15:10.116835+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7771;2026-08-04T08:15:10.116882+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7772;2026-08-04T08:15:10.116906+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7773;2026-08-04T08:15:10.116930+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7774;2026-08-04T08:15:10.116952+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7775;2026-08-04T08:15:10.116973+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7776;2026-08-04T08:15:10.116995+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7777;2026-08-04T08:15:15.497849+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7778;2026-08-04T08:15:15.498021+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7779;2026-08-04T08:15:15.498061+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7780;2026-08-04T08:15:15.498086+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7781;2026-08-04T08:15:15.498109+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7782;2026-08-04T08:15:15.498131+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7783;2026-08-04T08:15:15.498153+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7784;2026-08-04T08:15:15.498174+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7785;2026-08-04T08:15:20.910437+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7786;2026-08-04T08:15:20.910622+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7787;2026-08-04T08:15:20.910668+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7788;2026-08-04T08:15:20.910694+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7789;2026-08-04T08:15:20.910722+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7790;2026-08-04T08:15:20.910746+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7791;2026-08-04T08:15:20.910770+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7792;2026-08-04T08:15:20.910793+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7793;2026-08-04T08:15:26.323261+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7794;2026-08-04T08:15:26.323468+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7795;2026-08-04T08:15:26.323514+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7796;2026-08-04T08:15:26.323541+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7797;2026-08-04T08:15:26.323566+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7798;2026-08-04T08:15:26.323590+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7799;2026-08-04T08:15:26.323614+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
